Starting server
{"level":30,"time":1636116749385,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-1v","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65464},"msg":"incoming request"}
{"level":30,"time":1636116749393,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-1v","res":{"statusCode":200},"responseTime":7.286179780960083,"msg":"request completed"}
{"level":30,"time":1636116752070,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-1m","res":{"statusCode":200},"responseTime":10015.074476003647,"msg":"request completed"}
{"level":30,"time":1636116752238,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-1w","req":{"method":"OPTIONS","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116752239,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-1w","res":{"statusCode":204},"responseTime":0.49109792709350586,"msg":"request completed"}
{"level":30,"time":1636116752241,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-1x","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116752246,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-1x","res":{"statusCode":200},"responseTime":5.338174819946289,"msg":"request completed"}
{"level":30,"time":1636116753251,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-1y","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116753255,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-1y","res":{"statusCode":200},"responseTime":3.7292699813842773,"msg":"request completed"}
{"level":30,"time":1636116754254,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-1z","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116754258,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-1z","res":{"statusCode":200},"responseTime":3.763089895248413,"msg":"request completed"}
{"level":30,"time":1636116755258,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-20","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116755261,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-20","res":{"statusCode":200},"responseTime":3.0323569774627686,"msg":"request completed"}
{"level":30,"time":1636116756254,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-21","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116756258,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-21","res":{"statusCode":200},"responseTime":3.900270938873291,"msg":"request completed"}
{"level":30,"time":1636116802443,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-22","req":{"method":"OPTIONS","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":49173},"msg":"incoming request"}
{"level":30,"time":1636116802444,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-22","res":{"statusCode":204},"responseTime":0.6295299530029297,"msg":"request completed"}
{"level":30,"time":1636116802446,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-23","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":49173},"msg":"incoming request"}
{"level":30,"time":1636116802449,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-23","res":{"statusCode":200},"responseTime":2.9423978328704834,"msg":"request completed"}
{"level":30,"time":1636116803438,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-24","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":49173},"msg":"incoming request"}
{"level":30,"time":1636116803442,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-24","res":{"statusCode":200},"responseTime":3.1589200496673584,"msg":"request completed"}
{"level":30,"time":1636116804444,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-25","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":49173},"msg":"incoming request"}
{"level":30,"time":1636116804458,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-25","res":{"statusCode":200},"responseTime":4.97654914855957,"msg":"request completed"}
{"level":30,"time":1636116805440,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-26","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":49173},"msg":"incoming request"}
{"level":30,"time":1636116805443,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-26","res":{"statusCode":200},"responseTime":3.5438859462738037,"msg":"request completed"}
{"level":30,"time":1636116806446,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-27","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":49173},"msg":"incoming request"}
{"level":30,"time":1636116806450,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-27","res":{"statusCode":200},"responseTime":3.606628894805908,"msg":"request completed"}
{"level":30,"time":1636116807444,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-28","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":49173},"msg":"incoming request"}
{"level":30,"time":1636116807449,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-28","res":{"statusCode":200},"responseTime":4.532434940338135,"msg":"request completed"}
{"level":30,"time":1636116808443,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-29","req":{"method":"OPTIONS","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":49173},"msg":"incoming request"}
{"level":30,"time":1636116808444,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-29","res":{"statusCode":204},"responseTime":0.4740481376647949,"msg":"request completed"}
{"level":30,"time":1636116808446,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-2a","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":49173},"msg":"incoming request"}
{"level":30,"time":1636116808450,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-2a","res":{"statusCode":200},"responseTime":3.975343942642212,"msg":"request completed"}
{"level":30,"time":1636116809438,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-2b","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":49173},"msg":"incoming request"}
{"level":30,"time":1636116809441,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-2b","res":{"statusCode":200},"responseTime":2.797607898712158,"msg":"request completed"}
{"level":30,"time":1636116810445,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-2c","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":49173},"msg":"incoming request"}
{"level":30,"time":1636116810450,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-2c","res":{"statusCode":200},"responseTime":4.902217864990234,"msg":"request completed"}
{"level":30,"time":1636116811446,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-2d","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":49173},"msg":"incoming request"}
{"level":30,"time":1636116811449,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-2d","res":{"statusCode":200},"responseTime":3.138685941696167,"msg":"request completed"}
{"level":30,"time":1636116812445,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-2e","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":49173},"msg":"incoming request"}
{"level":30,"time":1636116812449,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-2e","res":{"statusCode":200},"responseTime":3.737830877304077,"msg":"request completed"}
{"level":30,"time":1636116813441,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-2f","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":49173},"msg":"incoming request"}
{"level":30,"time":1636116813445,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-2f","res":{"statusCode":200},"responseTime":4.170790910720825,"msg":"request completed"}
{"level":30,"time":1636116814441,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-2g","req":{"method":"OPTIONS","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":49173},"msg":"incoming request"}
{"level":30,"time":1636116814442,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-2g","res":{"statusCode":204},"responseTime":0.4722881317138672,"msg":"request completed"}
{"level":30,"time":1636116814443,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-2h","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":49173},"msg":"incoming request"}
{"level":30,"time":1636116814447,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-2h","res":{"statusCode":200},"responseTime":3.679373025894165,"msg":"request completed"}
{"level":30,"time":1636116815447,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-2i","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":49173},"msg":"incoming request"}
{"level":30,"time":1636116815452,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-2i","res":{"statusCode":200},"responseTime":4.545519113540649,"msg":"request completed"}
{"level":30,"time":1636116816440,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-2j","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":49173},"msg":"incoming request"}
{"level":30,"time":1636116816443,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-2j","res":{"statusCode":200},"responseTime":2.877295970916748,"msg":"request completed"}
{"level":30,"time":1636116817440,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-2k","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":49173},"msg":"incoming request"}
{"level":30,"time":1636116817442,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-2k","res":{"statusCode":200},"responseTime":2.666451930999756,"msg":"request completed"}
{"level":30,"time":1636116818443,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-2l","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":49173},"msg":"incoming request"}
{"level":30,"time":1636116818447,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-2l","res":{"statusCode":200},"responseTime":3.0066990852355957,"msg":"request completed"}
{"level":30,"time":1636116819439,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-2m","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":49173},"msg":"incoming request"}
{"level":30,"time":1636116819443,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-2m","res":{"statusCode":200},"responseTime":3.5585780143737793,"msg":"request completed"}
{"level":30,"time":1636116820442,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-2n","req":{"method":"OPTIONS","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":49173},"msg":"incoming request"}
{"level":30,"time":1636116820442,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-2n","res":{"statusCode":204},"responseTime":0.42369580268859863,"msg":"request completed"}
{"level":30,"time":1636116820444,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-2o","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":49173},"msg":"incoming request"}
{"level":30,"time":1636116820448,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-2o","res":{"statusCode":200},"responseTime":3.271557092666626,"msg":"request completed"}
{"level":30,"time":1636116821445,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-2p","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":49173},"msg":"incoming request"}
{"level":30,"time":1636116821447,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-2p","res":{"statusCode":200},"responseTime":2.464470148086548,"msg":"request completed"}
{"level":30,"time":1636116822445,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-2q","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":49173},"msg":"incoming request"}
{"level":30,"time":1636116822449,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-2q","res":{"statusCode":200},"responseTime":3.5831339359283447,"msg":"request completed"}
{"level":30,"time":1636116823441,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-2r","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":49173},"msg":"incoming request"}
{"level":30,"time":1636116823445,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-2r","res":{"statusCode":200},"responseTime":3.4282100200653076,"msg":"request completed"}
{"level":30,"time":1636116824442,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-2s","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":49173},"msg":"incoming request"}
{"level":30,"time":1636116824444,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-2s","res":{"statusCode":200},"responseTime":2.369243860244751,"msg":"request completed"}
{"level":30,"time":1636116825442,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-2t","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":49173},"msg":"incoming request"}
{"level":30,"time":1636116825446,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-2t","res":{"statusCode":200},"responseTime":3.488929033279419,"msg":"request completed"}
{"level":30,"time":1636116826442,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-2u","req":{"method":"OPTIONS","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":49173},"msg":"incoming request"}
{"level":30,"time":1636116826442,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-2u","res":{"statusCode":204},"responseTime":0.3593301773071289,"msg":"request completed"}
{"level":30,"time":1636116826444,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-2v","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":49173},"msg":"incoming request"}
{"level":30,"time":1636116826447,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-2v","res":{"statusCode":200},"responseTime":2.874505043029785,"msg":"request completed"}
{"level":30,"time":1636116827443,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-2w","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":49173},"msg":"incoming request"}
{"level":30,"time":1636116827447,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-2w","res":{"statusCode":200},"responseTime":3.4168500900268555,"msg":"request completed"}
{"level":30,"time":1636116828441,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-2x","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":49173},"msg":"incoming request"}
{"level":30,"time":1636116828444,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-2x","res":{"statusCode":200},"responseTime":3.184051036834717,"msg":"request completed"}
{"level":30,"time":1636116829446,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-2y","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":49173},"msg":"incoming request"}
{"level":30,"time":1636116829449,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-2y","res":{"statusCode":200},"responseTime":3.546926975250244,"msg":"request completed"}
{"level":30,"time":1636116830445,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-2z","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":49173},"msg":"incoming request"}
{"level":30,"time":1636116830449,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-2z","res":{"statusCode":200},"responseTime":3.5678000450134277,"msg":"request completed"}
